date,asset_id,campaign,campaignId,total_reach,total_engagements,total_conversions,aggregate_conversion_rate,platforms_instagram_reach,platforms_instagram_conversion_rate,platforms_tiktok_reach,platforms_tiktok_conversion_rate,platforms_youtube_reach,platforms_youtube_conversion_rate,platforms_facebook_reach,platforms_facebook_conversion_rate
2024-01-19 00:00:00+00:00,Aquarabia,New Year Awareness,0,17778,1860,89,0.5,4605,2.57,4978,3.6,5086,2.35,3446,2.97
2024-01-19 00:00:00+00:00,Six Flags,New Year Awareness,0,26205,2425,118,0.45,8462,2.59,7160,3.34,6297,2.21,4346,2.92
2024-01-20 00:00:00+00:00,Six Flags,New Year Awareness,0,18417,1458,69,0.37,6181,2.65,4118,3.79,5220,2.12,3631,2.74
2024-01-20 00:00:00+00:00,Aquarabia,New Year Awareness,0,28411,1046,74,0.26,7337,3.35,6726,3.63,8294,2.38,2968,3.06
2024-01-21 00:00:00+00:00,Aquarabia,New Year Awareness,0,16472,1645,106,0.64,4217,2.88,4920,3.19,4014,2.57,2752,3.05
2024-01-21 00:00:00+00:00,Six Flags,New Year Awareness,0,34612,1053,101,0.29,11920,2.94,7448,3.28,9980,2.31,5839,2.66
2024-01-22 00:00:00+00:00,Six Flags,New Year Awareness,0,23675,1150,112,0.47,6422,2.8,5643,3.02,6521,1.86,2432,3.27
2024-01-22 00:00:00+00:00,Aquarabia,New Year Awareness,0,32832,2015,56,0.17,10424,3.46,9384,3.47,7318,1.99,4172,3.34
2024-01-23 00:00:00+00:00,Six Flags,New Year Awareness,0,23354,1189,96,0.41,7899,2.89,5668,3.18,5142,2.3,3290,2.94
2024-01-23 00:00:00+00:00,Aquarabia,New Year Awareness,0,32206,1334,93,0.29,10192,2.92,8482,3.21,9212,2.55,3868,3.12
2024-01-24 00:00:00+00:00,Aquarabia,New Year Awareness,0,16209,1274,82,0.51,5065,2.53,4826,3.68,4700,2.1,2728,2.78
2024-01-24 00:00:00+00:00,Six Flags,New Year Awareness,0,20981,1348,61,0.29,7276,3.02,4906,3.12,5171,2.01,3404,2.68
2024-01-25 00:00:00+00:00,Six Flags,New Year Awareness,0,19851,1842,111,0.56,5328,3.37,5486,3.6,4595,1.82,2722,3.03
2024-01-25 00:00:00+00:00,Aquarabia,New Year Awareness,0,16788,1318,63,0.38,4405,2.97,3400,3.03,4703,2.15,2307,3.03
2024-01-26 00:00:00+00:00,Six Flags,New Year Awareness,0,32776,2274,109,0.33,10959,2.79,9054,3.23,9579,2.0,5053,2.97
2024-01-26 00:00:00+00:00,Aquarabia,New Year Awareness,0,17754,1694,82,0.46,4848,3.02,4826,3.2,4645,2.04,2211,3.26
2024-01-27 00:00:00+00:00,Aquarabia,New Year Awareness,0,20460,2329,96,0.47,5897,3.36,5969,3.74,5074,2.56,3580,2.99
2024-01-27 00:00:00+00:00,Six Flags,New Year Awareness,0,15200,1319,107,0.7,5106,2.96,4136,3.02,3873,2.32,2089,2.51
2024-01-28 00:00:00+00:00,Six Flags,New Year Awareness,0,17887,1010,83,0.46,5812,3.14,4580,3.51,5238,2.35,2581,2.76
2024-01-28 00:00:00+00:00,Aquarabia,New Year Awareness,0,28263,2406,79,0.28,7306,2.65,6929,3.02,6701,2.5,5156,3.42
2024-01-29 00:00:00+00:00,Aquarabia,New Year Awareness,0,30522,2231,99,0.32,8459,2.78,6724,3.46,6875,2.12,5563,2.82
2024-01-29 00:00:00+00:00,Six Flags,New Year Awareness,0,34962,1414,96,0.27,9604,3.17,8465,3.75,7881,2.23,4735,3.45
2024-01-30 00:00:00+00:00,Aquarabia,New Year Awareness,0,19049,2354,113,0.59,5493,2.89,4252,3.55,4007,1.89,2378,2.89
2024-01-30 00:00:00+00:00,Six Flags,New Year Awareness,0,31499,1229,117,0.37,9308,2.59,8466,3.17,8405,2.28,4636,2.9
2024-01-31 00:00:00+00:00,Aquarabia,New Year Awareness,0,16504,1323,94,0.57,5552,2.87,4125,3.04,3888,2.34,2386,3.26
2024-01-31 00:00:00+00:00,Six Flags,New Year Awareness,0,28407,1216,100,0.35,8174,3.45,5871,3.39,7426,2.0,3993,3.16
2024-02-01 00:00:00+00:00,Aquarabia,New Year Awareness,0,32293,1104,106,0.33,8939,2.67,9148,3.78,7265,2.13,4596,2.64
2024-02-01 00:00:00+00:00,Six Flags,New Year Awareness,0,25405,1137,72,0.28,7218,2.78,6921,3.13,7409,2.0,3819,2.9
2024-02-02 00:00:00+00:00,Aquarabia,New Year Awareness,0,20826,2360,84,0.4,6728,3.42,5542,3.13,5150,2.34,3333,3.18
2024-02-02 00:00:00+00:00,Six Flags,New Year Awareness,0,18304,1233,71,0.39,5246,3.31,5228,3.04,5003,2.17,2176,2.84
2024-02-03 00:00:00+00:00,Aquarabia,New Year Awareness,0,31928,2127,100,0.31,9120,2.61,7467,3.59,6395,2.44,3934,3.07
2024-02-03 00:00:00+00:00,Six Flags,New Year Awareness,0,15408,2160,59,0.38,4758,2.81,4544,3.05,4490,2.19,1662,2.55
2024-02-04 00:00:00+00:00,Six Flags,New Year Awareness,0,28783,2404,88,0.31,8077,3.36,7427,3.24,7506,1.82,5213,2.74
2024-02-04 00:00:00+00:00,Aquarabia,New Year Awareness,0,20272,1392,85,0.42,6245,2.84,5205,3.69,5687,2.36,3761,3.05
2024-02-05 00:00:00+00:00,Six Flags,New Year Awareness,0,15715,2065,101,0.64,4294,3.08,4321,3.3,4433,2.32,2405,2.56
2024-02-05 00:00:00+00:00,Aquarabia,New Year Awareness,0,20448,1506,117,0.57,5206,3.12,5537,3.74,4861,1.88,2651,3.38
2024-02-06 00:00:00+00:00,Aquarabia,New Year Awareness,0,19860,2111,108,0.54,6919,2.65,4552,3.45,5633,2.53,3436,2.61
2024-02-06 00:00:00+00:00,Six Flags,New Year Awareness,0,24576,1540,50,0.2,7436,2.83,5262,3.04,6437,2.41,4884,2.61
2024-02-07 00:00:00+00:00,Aquarabia,New Year Awareness,0,17124,2092,52,0.3,4839,3.28,3962,3.58,3615,2.27,3114,2.65
2024-02-07 00:00:00+00:00,Six Flags,New Year Awareness,0,18563,2471,101,0.54,5876,2.95,4496,3.54,4606,2.02,3642,3.45
2024-02-08 00:00:00+00:00,Aquarabia,New Year Awareness,0,19739,1175,79,0.4,5420,2.86,5276,3.8,4669,2.59,2524,3.46
2024-02-08 00:00:00+00:00,Six Flags,New Year Awareness,0,29295,1809,107,0.37,10211,3.16,5951,3.11,7722,2.36,4249,2.79
2024-02-09 00:00:00+00:00,Aquarabia,New Year Awareness,0,25064,1903,109,0.43,7769,2.81,6193,3.52,6728,2.51,3697,3.33
2024-02-09 00:00:00+00:00,Six Flags,New Year Awareness,0,17191,1049,99,0.58,5436,2.8,4021,3.71,4554,2.57,3208,2.56
2024-02-10 00:00:00+00:00,Aquarabia,New Year Awareness,0,18217,1573,86,0.47,5138,3.06,5051,3.8,5203,2.53,3118,3.26
2024-02-10 00:00:00+00:00,Six Flags,New Year Awareness,0,28844,1240,97,0.34,8357,2.7,6350,3.27,8211,2.27,3904,3.03
2024-02-11 00:00:00+00:00,Aquarabia,New Year Awareness,0,17726,1021,102,0.58,4924,3.16,5092,3.33,4511,1.83,3216,3.42
2024-02-11 00:00:00+00:00,Six Flags,New Year Awareness,0,25565,1535,75,0.29,7019,3.03,5875,3.68,5284,2.42,4108,3.36
2024-02-12 00:00:00+00:00,Six Flags,New Year Awareness,0,17310,2348,117,0.68,5988,3.1,4966,3.68,3895,1.87,2373,2.62
2024-02-12 00:00:00+00:00,Aquarabia,New Year Awareness,0,23785,2297,105,0.44,8114,3.43,6578,3.39,6381,2.13,2863,2.76
2024-02-13 00:00:00+00:00,Aquarabia,New Year Awareness,0,21789,1429,90,0.41,5736,2.83,4557,3.74,5005,2.38,3094,3.29
2024-02-13 00:00:00+00:00,Six Flags,New Year Awareness,0,31948,1485,66,0.21,8427,3.15,6869,3.02,9447,2.46,4864,3.05
2024-02-14 00:00:00+00:00,Six Flags,New Year Awareness,0,22806,1769,87,0.38,7697,2.73,6051,3.37,5717,2.28,3058,3.16
2024-02-14 00:00:00+00:00,Aquarabia,New Year Awareness,0,19692,1746,115,0.58,5174,2.52,4775,3.4,5233,2.0,3599,2.7
2024-02-15 00:00:00+00:00,Aquarabia,New Year Awareness,0,31248,2220,101,0.32,9964,2.77,8199,3.34,9339,2.03,4715,2.98
2024-02-15 00:00:00+00:00,Six Flags,New Year Awareness,0,24969,1271,77,0.31,7006,3.06,5054,3.32,5193,2.37,2966,3.06
2024-02-16 00:00:00+00:00,Aquarabia,New Year Awareness,0,30457,2410,115,0.38,8232,2.95,8171,3.47,8874,2.15,3551,3.02
2024-02-16 00:00:00+00:00,Six Flags,New Year Awareness,0,22262,1486,88,0.4,7338,3.5,5483,3.77,5498,2.49,2569,3.36
2024-02-17 00:00:00+00:00,Six Flags,New Year Awareness,0,19364,1308,105,0.54,5223,2.55,5265,3.42,4494,2.12,2262,3.48
2024-02-17 00:00:00+00:00,Aquarabia,New Year Awareness,0,25282,2132,52,0.21,8695,2.64,5499,3.36,5767,1.99,3292,2.57
2024-02-18 00:00:00+00:00,Six Flags,New Year Awareness,0,29669,1925,85,0.29,8796,2.53,8743,3.31,8357,2.39,3999,3.19
2024-02-18 00:00:00+00:00,Aquarabia,New Year Awareness,0,28680,2094,79,0.28,8970,3.39,5994,3.47,7897,2.04,5158,2.54
2024-02-19 00:00:00+00:00,Six Flags,New Year Awareness,0,24890,1173,115,0.46,7577,3.0,5433,3.51,5825,2.25,3241,2.59
2024-02-19 00:00:00+00:00,Aquarabia,New Year Awareness,0,16903,1448,70,0.41,5266,2.99,4056,3.78,4609,2.35,1770,2.81
2024-02-20 00:00:00+00:00,Aquarabia,New Year Awareness,0,21604,1971,70,0.32,5608,2.83,5295,3.42,5289,2.17,3002,3.07
2024-02-20 00:00:00+00:00,Six Flags,New Year Awareness,0,34443,1316,69,0.2,9591,3.36,8599,3.63,7938,1.98,4521,2.86
2024-02-21 00:00:00+00:00,Aquarabia,New Year Awareness,0,22605,1040,70,0.31,6777,2.58,4622,3.25,5485,2.29,2504,3.14
2024-02-21 00:00:00+00:00,Six Flags,New Year Awareness,0,22277,2005,78,0.35,6806,3.12,5659,3.52,6662,2.44,3483,3.06
2024-02-22 00:00:00+00:00,Aquarabia,New Year Awareness,0,25677,1222,106,0.41,8677,3.21,6607,3.67,7212,1.92,3317,2.98
2024-02-22 00:00:00+00:00,Six Flags,New Year Awareness,0,21711,1528,87,0.4,6453,2.66,4890,3.13,4950,2.06,3990,2.91
2024-02-23 00:00:00+00:00,Aquarabia,New Year Awareness,0,19495,1968,85,0.44,5070,2.67,4431,3.4,4588,2.01,2967,2.88
2024-02-23 00:00:00+00:00,Six Flags,New Year Awareness,0,22364,1074,100,0.45,7202,2.86,6705,3.15,4842,1.92,4085,2.59
2024-02-24 00:00:00+00:00,Aquarabia,New Year Awareness,0,28001,1750,67,0.24,7368,2.7,6241,3.35,6863,2.39,4919,3.39
2024-02-24 00:00:00+00:00,Six Flags,New Year Awareness,0,26053,2343,85,0.33,7227,2.6,6545,3.7,6795,2.4,2964,2.84
2024-02-25 00:00:00+00:00,Aquarabia,New Year Awareness,0,23550,2382,92,0.39,6036,3.5,5138,3.21,4941,2.54,4551,2.95
2024-02-25 00:00:00+00:00,Six Flags,New Year Awareness,0,17142,1682,118,0.69,5687,2.69,4887,3.63,4615,2.19,1986,3.32
2024-02-26 00:00:00+00:00,Aquarabia,New Year Awareness,0,33112,2332,53,0.16,8660,2.75,9132,3.79,9734,2.26,4197,2.96
2024-02-26 00:00:00+00:00,Six Flags,New Year Awareness,0,28215,1331,94,0.33,7994,3.04,7425,3.37,8346,2.54,4072,2.62
2024-02-27 00:00:00+00:00,Six Flags,New Year Awareness,0,20767,1171,113,0.54,6874,2.55,6222,3.32,5240,2.19,2373,2.99
2024-02-27 00:00:00+00:00,Aquarabia,New Year Awareness,0,30501,1893,50,0.16,9685,2.64,8757,3.22,8123,1.86,3751,3.43
2024-02-28 00:00:00+00:00,Six Flags,New Year Awareness,0,15035,2357,81,0.54,5144,3.32,3200,3.36,3958,2.56,2384,2.7
2024-02-28 00:00:00+00:00,Aquarabia,New Year Awareness,0,19148,1018,63,0.33,4868,3.45,5143,3.01,4954,2.27,3162,2.56
2024-02-29 00:00:00+00:00,Six Flags,New Year Awareness,0,31067,1762,102,0.33,9123,3.4,7135,3.74,7353,2.18,4072,3.25
2024-02-29 00:00:00+00:00,Aquarabia,New Year Awareness,0,15040,1148,63,0.42,4313,2.65,3719,3.15,4301,1.86,1933,3.2
2024-03-01 00:00:00+00:00,Aquarabia,Family Day Promotions,4,47665,4263,152,0.32,10817,2.95,5870,3.14,11463,2.37,5198,3.5
2024-03-01 00:00:00+00:00,Six Flags,Family Day Promotions,4,42004,4636,202,0.48,12714,2.6,10904,3.03,15165,1.5,7319,3.45
2024-03-02 00:00:00+00:00,Aquarabia,Family Day Promotions,4,52369,4319,225,0.43,14704,2.77,9965,3.6,12847,3.05,8081,2.47
2024-03-02 00:00:00+00:00,Six Flags,Family Day Promotions,4,55229,4914,191,0.35,10776,2.62,9438,3.66,17259,2.77,8596,3.56
2024-03-03 00:00:00+00:00,Aquarabia,Family Day Promotions,4,36408,4806,125,0.34,9193,2.94,4715,3.09,7233,1.78,5996,3.27
2024-03-03 00:00:00+00:00,Six Flags,Family Day Promotions,4,58552,4069,224,0.38,5862,3.84,9058,3.53,14053,1.34,4443,3.17
2024-03-04 00:00:00+00:00,Aquarabia,Family Day Promotions,4,78415,4677,412,0.53,9777,3.57,10189,2.3,19528,1.75,8895,3.56
2024-03-04 00:00:00+00:00,Six Flags,Family Day Promotions,4,67795,4484,247,0.36,8854,3.21,11166,2.54,16092,2.03,6497,3.02
2024-03-05 00:00:00+00:00,Six Flags,Family Day Promotions,4,40295,4192,224,0.56,9812,3.13,10709,2.56,7855,2.18,4699,2.72
2024-03-05 00:00:00+00:00,Aquarabia,Family Day Promotions,4,37921,4873,118,0.31,5296,2.75,11955,2.54,14753,2.16,4555,2.79
2024-03-06 00:00:00+00:00,Aquarabia,Family Day Promotions,4,65607,4707,371,0.57,12922,3.94,8018,2.32,9323,3.08,8188,3.4
2024-03-06 00:00:00+00:00,Six Flags,Family Day Promotions,4,64710,3653,286,0.44,6657,3.66,4170,3.74,19802,1.58,4900,2.83
2024-03-07 00:00:00+00:00,Aquarabia,Family Day Promotions,4,43469,4818,223,0.51,8729,3.49,5557,2.55,16976,1.99,5163,3.52
2024-03-07 00:00:00+00:00,Six Flags,Family Day Promotions,4,56852,3863,251,0.44,10575,3.48,11422,2.79,13707,1.66,7899,2.56
2024-03-08 00:00:00+00:00,Aquarabia,Family Day Promotions,4,36682,4509,190,0.52,8450,2.94,4040,3.33,7364,2.67,4290,3.29
2024-03-08 00:00:00+00:00,Six Flags,Family Day Promotions,4,41120,4748,243,0.59,11273,3.02,10142,2.22,7990,2.93,7842,3.52
2024-03-09 00:00:00+00:00,Aquarabia,Family Day Promotions,4,31826,3762,143,0.45,7903,3.26,4120,2.44,8553,1.72,5248,3.16
2024-03-09 00:00:00+00:00,Six Flags,Family Day Promotions,4,34595,4332,164,0.47,10114,2.75,7411,2.39,14106,2.67,7158,3.16
2024-03-10 00:00:00+00:00,Aquarabia,Family Day Promotions,4,40765,4935,241,0.59,6690,3.23,4242,2.91,11268,3.24,6994,3.36
2024-03-10 00:00:00+00:00,Six Flags,Family Day Promotions,4,44744,4547,242,0.54,7424,3.27,9483,2.68,19048,1.24,8422,2.42
2024-03-11 00:00:00+00:00,Aquarabia,Family Day Promotions,4,61792,4518,212,0.34,12298,2.58,9171,3.62,19920,1.53,6798,3.41
2024-03-11 00:00:00+00:00,Six Flags,Family Day Promotions,4,58777,4489,259,0.44,13433,3.05,4581,3.7,16872,2.65,8542,2.75
2024-03-12 00:00:00+00:00,Aquarabia,Family Day Promotions,4,59041,3806,193,0.33,7302,3.14,10068,2.29,18306,1.95,3426,2.42
2024-03-12 00:00:00+00:00,Six Flags,Family Day Promotions,4,37639,3758,114,0.3,12864,3.71,5867,3.28,13727,1.23,5690,3.02
2024-03-13 00:00:00+00:00,Aquarabia,Family Day Promotions,4,68971,3452,243,0.35,7474,3.91,10658,2.66,11928,2.78,3335,3.53
2024-03-13 00:00:00+00:00,Six Flags,Family Day Promotions,4,73903,3813,442,0.6,13577,2.9,11736,2.95,9291,3.04,4599,3.41
2024-03-14 00:00:00+00:00,Six Flags,Family Day Promotions,4,38067,4762,220,0.58,7972,2.62,10641,3.38,18470,2.85,7538,2.85
2024-03-14 00:00:00+00:00,Aquarabia,Family Day Promotions,4,73536,4322,399,0.54,12480,3.74,7444,2.96,10272,2.8,3280,3.37
2024-03-15 00:00:00+00:00,Aquarabia,Family Day Promotions,4,30362,4652,164,0.54,13911,2.7,10506,3.62,13759,1.82,4629,2.45
2024-03-15 00:00:00+00:00,Six Flags,Family Day Promotions,4,53937,4626,257,0.48,7981,3.96,5092,2.23,9867,2.21,3217,3.36
2024-03-16 00:00:00+00:00,Aquarabia,Family Day Promotions,4,73933,4173,329,0.44,13038,3.38,11376,3.06,13065,1.74,5401,2.41
2024-03-16 00:00:00+00:00,Six Flags,Family Day Promotions,4,55799,4226,251,0.45,14007,2.67,10507,3.61,11284,1.29,6892,2.45
2024-03-17 00:00:00+00:00,Aquarabia,Family Day Promotions,4,36534,3812,176,0.48,12537,2.86,5649,2.42,17195,2.62,8993,2.62
2024-03-17 00:00:00+00:00,Six Flags,Family Day Promotions,4,52833,4685,272,0.51,8153,2.94,9144,3.29,16520,2.61,5580,2.69
2024-03-18 00:00:00+00:00,Six Flags,Family Day Promotions,4,45494,4452,138,0.3,14080,2.57,5296,2.31,9338,1.96,7051,2.56
2024-03-18 00:00:00+00:00,Aquarabia,Family Day Promotions,4,66165,4767,271,0.41,13536,2.64,11845,2.96,19363,2.23,7694,3.37
2024-03-19 00:00:00+00:00,Six Flags,Family Day Promotions,4,45594,4752,202,0.44,8134,2.6,6744,3.29,15675,1.61,6321,3.28
2024-03-19 00:00:00+00:00,Aquarabia,Family Day Promotions,4,35132,3276,142,0.4,13070,3.8,7431,2.8,14349,2.38,5241,2.69
2024-03-20 00:00:00+00:00,Aquarabia,Family Day Promotions,4,46321,3586,204,0.44,7526,3.52,6499,2.98,10312,1.34,7519,3.57
2024-03-20 00:00:00+00:00,Six Flags,Family Day Promotions,4,73644,5310,352,0.48,14282,3.43,5385,3.0,15211,3.02,6800,2.52
2024-03-21 00:00:00+00:00,Aquarabia,Family Day Promotions,4,55273,4963,328,0.59,5921,3.97,7988,3.13,11495,2.3,8528,3.26
2024-03-21 00:00:00+00:00,Six Flags,Family Day Promotions,4,37033,3775,175,0.47,13182,3.59,5817,3.07,13502,2.38,8957,2.54
2024-03-22 00:00:00+00:00,Aquarabia,Family Day Promotions,4,39622,4175,131,0.33,7740,3.07,5583,2.41,8104,2.34,3024,3.49
2024-03-22 00:00:00+00:00,Six Flags,Family Day Promotions,4,57720,3821,179,0.31,6640,3.56,8312,2.28,13971,2.86,4757,3.01
2024-03-23 00:00:00+00:00,Aquarabia,Family Day Promotions,4,76372,4345,353,0.46,11742,3.11,11611,3.62,16660,2.34,6596,2.81
2024-03-23 00:00:00+00:00,Six Flags,Family Day Promotions,4,34093,3303,183,0.54,6396,3.9,6310,2.99,10405,3.2,4874,2.65
2024-03-24 00:00:00+00:00,Six Flags,Family Day Promotions,4,71310,3461,412,0.58,10660,2.53,9232,2.46,15817,1.44,7982,3.2
2024-03-24 00:00:00+00:00,Aquarabia,Family Day Promotions,4,31212,4646,139,0.45,7581,3.85,10731,2.64,13839,3.11,5093,3.46
2024-03-25 00:00:00+00:00,Aquarabia,Family Day Promotions,4,46677,4026,180,0.39,13883,3.43,7133,2.7,18201,1.53,7313,3.15
2024-03-25 00:00:00+00:00,Six Flags,Family Day Promotions,4,34261,5402,188,0.55,13263,3.86,4261,2.4,16335,2.65,5935,2.72
2024-03-26 00:00:00+00:00,Aquarabia,Family Day Promotions,4,33529,3907,118,0.35,8696,3.02,11988,3.09,15892,1.69,8060,3.54
2024-03-26 00:00:00+00:00,Six Flags,Family Day Promotions,4,61283,4895,276,0.45,11432,3.02,5833,3.22,14462,2.9,3746,3.39
2024-03-27 00:00:00+00:00,Aquarabia,Family Day Promotions,4,30236,4553,166,0.55,13410,3.99,5782,3.21,15192,2.84,7842,2.83
2024-03-27 00:00:00+00:00,Six Flags,Family Day Promotions,4,79066,5526,249,0.31,5273,2.54,5283,3.29,19564,2.61,6575,2.94
2024-03-28 00:00:00+00:00,Aquarabia,Family Day Promotions,4,42005,4699,230,0.55,8991,2.86,8990,2.43,7058,2.12,8152,3.39
2024-03-28 00:00:00+00:00,Six Flags,Family Day Promotions,4,60346,4383,237,0.39,8727,2.99,11262,3.73,15207,1.74,3396,2.74
2024-03-29 00:00:00+00:00,Six Flags,Family Day Promotions,4,67233,3383,232,0.35,11963,2.96,4615,3.71,7964,3.24,7362,3.31
2024-03-29 00:00:00+00:00,Aquarabia,Family Day Promotions,4,36829,4220,187,0.51,6441,3.98,6586,2.95,9648,3.03,6386,2.65
2024-03-30 00:00:00+00:00,Aquarabia,Family Day Promotions,4,39562,4076,237,0.6,14389,3.93,11166,2.86,18162,2.36,5883,2.44
2024-03-30 00:00:00+00:00,Six Flags,Family Day Promotions,4,56602,5382,214,0.38,6444,2.88,10824,2.45,7579,3.02,5056,2.55
2024-03-31 00:00:00+00:00,Aquarabia,Family Day Promotions,4,53548,4090,296,0.55,8620,3.22,11214,3.42,13340,2.13,7798,3.21
2024-03-31 00:00:00+00:00,Six Flags,Family Day Promotions,4,46282,4550,219,0.47,10411,3.58,8430,3.12,13795,1.67,6540,3.06
2024-04-01 00:00:00+00:00,Aquarabia,Family Day Promotions,4,39407,4855,191,0.48,5433,2.73,11531,2.46,13657,1.62,5727,3.21
2024-04-01 00:00:00+00:00,Six Flags,Family Day Promotions,4,37305,4175,182,0.49,10632,3.84,10408,2.54,9829,1.2,7538,2.56
2024-04-02 00:00:00+00:00,Aquarabia,Family Day Promotions,4,51955,5204,256,0.49,14066,3.97,7298,2.83,14951,3.26,6853,3.54
