asset_id,date,ride_id,ride_name,tickets_sold,attendance,capacity,operational_hours,scheduled_maintenance_hours,uptime,downtime
Aquarabia,2025-01-02 00:00:00+00:00,WTR1,Wave Pool,5435,5363,6000,6,1,5,1
Aquarabia,2025-01-02 00:00:00+00:00,SST,Sea Stallion,6365,6179,7000,7,1,6,1
Aquarabia,2025-01-02 00:00:00+00:00,DRD,Dizzy Rapids Drop,3533,3358,3600,8,4,4,4
Six Flags,2025-01-03 00:00:00+00:00,IRMT,Iron Rattler Mine Town,4460,4458,4500,7,1,6,1
Six Flags,2025-01-03 00:00:00+00:00,TWE,Twilight Express,7751,7795,7800,7,3,4,3
Six Flags,2025-01-03 00:00:00+00:00,SKW,Skywatch,6487,6706,6500,7,1,6,1
Six Flags,2025-01-03 00:00:00+00:00,HRA,High Roller Adventure,5951,6656,6000,9,4,5,4
Six Flags,2025-01-03 00:00:00+00:00,KCB,Kiddie Carousel Bay,2983,2952,3000,7,4,3,4
Six Flags,2025-01-03 00:00:00+00:00,MLP,Magic Lantern Parade,3964,4341,4000,7,1,6,1
Six Flags,2025-01-03 00:00:00+00:00,ELT,Electric Light Tour,3487,3302,3500,8,2,6,2
Six Flags,2025-01-03 00:00:00+00:00,SRT,Siroccos Tower,7492,7378,8000,9,2,7,2
Six Flags,2025-01-03 00:00:00+00:00,GDC,Grand Canyon Coaster,5163,5774,5200,7,4,3,4
Six Flags,2025-01-03 00:00:00+00:00,FLF,Falcons Flight,8987,9498,9000,8,2,6,2
Aquarabia,2025-01-03 00:00:00+00:00,WTR4,Aqua Loop,5477,6280,5500,7,1,6,1
Aquarabia,2025-01-03 00:00:00+00:00,AQL,Aqua Lake Raft,3754,3815,3800,10,2,8,2
Aquarabia,2025-01-03 00:00:00+00:00,SST,Sea Stallion,6983,7505,7000,6,1,5,1
Aquarabia,2025-01-03 00:00:00+00:00,WTR1,Wave Pool,5963,5790,6000,10,2,8,2
Aquarabia,2025-01-03 00:00:00+00:00,WTR2,Lazy River,4973,5759,5000,8,2,6,2
Aquarabia,2025-01-03 00:00:00+00:00,WTR3,Splash Zone,7975,8467,8000,6,2,4,2
Aquarabia,2025-01-03 00:00:00+00:00,DRD,Dizzy Rapids Drop,3573,3875,3600,10,4,6,4
Aquarabia,2025-01-03 00:00:00+00:00,RDL,Rapid Downstream Loop,4990,5473,5000,6,4,2,4
Aquarabia,2025-01-03 00:00:00+00:00,SMW,Splash Mountain Wave,4778,4785,4800,6,4,2,4
Aquarabia,2025-01-03 00:00:00+00:00,FJT,Fun Jet Tubes,4159,4396,4200,8,2,6,2
Six Flags,2025-01-04 00:00:00+00:00,FLF,Falcons Flight,5078,4881,9000,6,2,4,2
Six Flags,2025-01-04 00:00:00+00:00,MLP,Magic Lantern Parade,2460,2304,4000,8,4,4,4
Six Flags,2025-01-04 00:00:00+00:00,GDC,Grand Canyon Coaster,2994,2869,5200,10,2,8,2
Six Flags,2025-01-04 00:00:00+00:00,HRA,High Roller Adventure,3629,3435,6000,8,2,6,2
Six Flags,2025-01-04 00:00:00+00:00,SKW,Skywatch,3554,3499,6500,9,2,7,2
Six Flags,2025-01-04 00:00:00+00:00,TWE,Twilight Express,4254,4138,7800,10,3,7,3
Six Flags,2025-01-04 00:00:00+00:00,IRMT,Iron Rattler Mine Town,2758,2643,4500,7,1,6,1
Six Flags,2025-01-04 00:00:00+00:00,SRT,Siroccos Tower,4353,4301,8000,6,3,3,3
Six Flags,2025-01-04 00:00:00+00:00,KCB,Kiddie Carousel Bay,1866,1813,3000,7,4,3,4
Six Flags,2025-01-04 00:00:00+00:00,ELT,Electric Light Tour,2253,2173,3500,9,1,8,1
Aquarabia,2025-01-04 00:00:00+00:00,DRD,Dizzy Rapids Drop,3579,3589,3600,9,1,8,1
Aquarabia,2025-01-04 00:00:00+00:00,FJT,Fun Jet Tubes,3830,3677,4200,9,4,5,4
Aquarabia,2025-01-04 00:00:00+00:00,SMW,Splash Mountain Wave,4669,4483,4800,10,1,9,1
Aquarabia,2025-01-04 00:00:00+00:00,RDL,Rapid Downstream Loop,4331,4276,5000,10,1,9,1
Aquarabia,2025-01-04 00:00:00+00:00,WTR4,Aqua Loop,5482,5440,5500,8,4,4,4
Aquarabia,2025-01-04 00:00:00+00:00,WTR3,Splash Zone,7114,6932,8000,8,2,6,2
Aquarabia,2025-01-04 00:00:00+00:00,WTR2,Lazy River,4783,4668,5000,10,4,6,4
Aquarabia,2025-01-04 00:00:00+00:00,WTR1,Wave Pool,5350,5170,6000,10,1,9,1
Aquarabia,2025-01-04 00:00:00+00:00,SST,Sea Stallion,6970,6962,7000,9,2,7,2
Aquarabia,2025-01-04 00:00:00+00:00,AQL,Aqua Lake Raft,3223,3126,3800,6,1,5,1
Six Flags,2025-01-05 00:00:00+00:00,IRMT,Iron Rattler Mine Town,3505,3362,4500,6,4,2,4
Six Flags,2025-01-05 00:00:00+00:00,TWE,Twilight Express,5605,5461,7800,8,1,7,1
Six Flags,2025-01-05 00:00:00+00:00,HRA,High Roller Adventure,4111,4006,6000,10,1,9,1
Six Flags,2025-01-05 00:00:00+00:00,SRT,Siroccos Tower,5223,5031,8000,8,3,5,3
Six Flags,2025-01-05 00:00:00+00:00,MLP,Magic Lantern Parade,3164,3009,4000,10,3,7,3
Six Flags,2025-01-05 00:00:00+00:00,ELT,Electric Light Tour,2624,2485,3500,6,3,3,3
Six Flags,2025-01-05 00:00:00+00:00,KCB,Kiddie Carousel Bay,2291,2106,3000,10,2,8,2
Six Flags,2025-01-05 00:00:00+00:00,GDC,Grand Canyon Coaster,3451,3262,5200,6,1,5,1
Six Flags,2025-01-05 00:00:00+00:00,FLF,Falcons Flight,5936,5790,9000,10,3,7,3
Six Flags,2025-01-05 00:00:00+00:00,SKW,Skywatch,4160,4088,6500,7,2,5,2
Aquarabia,2025-01-05 00:00:00+00:00,AQL,Aqua Lake Raft,3762,3861,3800,7,1,6,1
Aquarabia,2025-01-05 00:00:00+00:00,WTR1,Wave Pool,5593,5543,6000,8,4,4,4
Aquarabia,2025-01-05 00:00:00+00:00,WTR2,Lazy River,4952,5097,5000,7,2,5,2
Aquarabia,2025-01-05 00:00:00+00:00,WTR3,Splash Zone,7959,7966,8000,7,1,6,1
Aquarabia,2025-01-05 00:00:00+00:00,WTR4,Aqua Loop,5387,5277,5500,7,3,4,3
Aquarabia,2025-01-05 00:00:00+00:00,SST,Sea Stallion,6976,7708,7000,6,2,4,2
Aquarabia,2025-01-05 00:00:00+00:00,RDL,Rapid Downstream Loop,4960,5401,5000,8,3,5,3
Aquarabia,2025-01-05 00:00:00+00:00,SMW,Splash Mountain Wave,4636,4521,4800,7,3,4,3
Aquarabia,2025-01-05 00:00:00+00:00,FJT,Fun Jet Tubes,4080,3993,4200,6,2,4,2
Aquarabia,2025-01-05 00:00:00+00:00,DRD,Dizzy Rapids Drop,3553,3839,3600,9,3,6,3
Six Flags,2025-01-06 00:00:00+00:00,SRT,Siroccos Tower,4890,4720,8000,6,1,5,1
Six Flags,2025-01-06 00:00:00+00:00,KCB,Kiddie Carousel Bay,1897,1706,3000,7,1,6,1
Six Flags,2025-01-06 00:00:00+00:00,ELT,Electric Light Tour,1945,1746,3500,7,1,6,1
Six Flags,2025-01-06 00:00:00+00:00,MLP,Magic Lantern Parade,2253,2172,4000,8,3,5,3
Six Flags,2025-01-06 00:00:00+00:00,GDC,Grand Canyon Coaster,3116,2966,5200,6,2,4,2
Six Flags,2025-01-06 00:00:00+00:00,HRA,High Roller Adventure,3670,3489,6000,8,4,4,4
Six Flags,2025-01-06 00:00:00+00:00,SKW,Skywatch,3844,3704,6500,7,2,5,2
Six Flags,2025-01-06 00:00:00+00:00,TWE,Twilight Express,4073,3992,7800,9,1,8,1
Six Flags,2025-01-06 00:00:00+00:00,IRMT,Iron Rattler Mine Town,2567,2395,4500,8,4,4,4
Six Flags,2025-01-06 00:00:00+00:00,FLF,Falcons Flight,4656,4583,9000,8,3,5,3
Aquarabia,2025-01-06 00:00:00+00:00,DRD,Dizzy Rapids Drop,3465,3408,3600,8,3,5,3
Aquarabia,2025-01-06 00:00:00+00:00,AQL,Aqua Lake Raft,3278,3212,3800,8,2,6,2
Aquarabia,2025-01-06 00:00:00+00:00,WTR1,Wave Pool,5853,5722,6000,6,3,3,3
Aquarabia,2025-01-06 00:00:00+00:00,WTR2,Lazy River,4798,4619,5000,7,4,3,4
Aquarabia,2025-01-06 00:00:00+00:00,WTR3,Splash Zone,7638,7458,8000,6,2,4,2
Aquarabia,2025-01-06 00:00:00+00:00,SST,Sea Stallion,6957,6872,7000,10,3,7,3
Aquarabia,2025-01-06 00:00:00+00:00,RDL,Rapid Downstream Loop,4591,4441,5000,9,3,6,3
Aquarabia,2025-01-06 00:00:00+00:00,SMW,Splash Mountain Wave,4776,4810,4800,6,1,5,1
Aquarabia,2025-01-06 00:00:00+00:00,FJT,Fun Jet Tubes,4070,4006,4200,8,3,5,3
Aquarabia,2025-01-06 00:00:00+00:00,WTR4,Aqua Loop,4858,4755,5500,6,4,2,4
Six Flags,2025-01-07 00:00:00+00:00,SRT,Siroccos Tower,6407,6316,8000,8,1,7,1
Six Flags,2025-01-07 00:00:00+00:00,ELT,Electric Light Tour,2620,2541,3500,9,1,8,1
Six Flags,2025-01-07 00:00:00+00:00,MLP,Magic Lantern Parade,3117,3047,4000,8,4,4,4
Six Flags,2025-01-07 00:00:00+00:00,GDC,Grand Canyon Coaster,4004,3896,5200,6,1,5,1
Six Flags,2025-01-07 00:00:00+00:00,HRA,High Roller Adventure,4143,4026,6000,7,3,4,3
Six Flags,2025-01-07 00:00:00+00:00,SKW,Skywatch,5171,5071,6500,6,2,4,2
Six Flags,2025-01-07 00:00:00+00:00,TWE,Twilight Express,5227,5133,7800,7,1,6,1
Six Flags,2025-01-07 00:00:00+00:00,IRMT,Iron Rattler Mine Town,3547,3455,4500,9,3,6,3
Six Flags,2025-01-07 00:00:00+00:00,FLF,Falcons Flight,6440,6270,9000,8,3,5,3
Six Flags,2025-01-07 00:00:00+00:00,KCB,Kiddie Carousel Bay,2528,2341,3000,10,4,6,4
Aquarabia,2025-01-07 00:00:00+00:00,AQL,Aqua Lake Raft,2755,2628,3800,8,1,7,1
Aquarabia,2025-01-07 00:00:00+00:00,SST,Sea Stallion,4796,4722,7000,8,4,4,4
Aquarabia,2025-01-07 00:00:00+00:00,WTR1,Wave Pool,3927,3870,6000,9,2,7,2
Aquarabia,2025-01-07 00:00:00+00:00,WTR2,Lazy River,3566,3433,5000,9,4,5,4
Aquarabia,2025-01-07 00:00:00+00:00,WTR3,Splash Zone,5283,5099,8000,10,4,6,4
Aquarabia,2025-01-07 00:00:00+00:00,DRD,Dizzy Rapids Drop,2807,2632,3600,9,2,7,2
Aquarabia,2025-01-07 00:00:00+00:00,RDL,Rapid Downstream Loop,3396,3229,5000,8,2,6,2
Aquarabia,2025-01-07 00:00:00+00:00,SMW,Splash Mountain Wave,3368,3263,4800,9,3,6,3
Aquarabia,2025-01-07 00:00:00+00:00,FJT,Fun Jet Tubes,3126,2928,4200,6,1,5,1
Aquarabia,2025-01-07 00:00:00+00:00,WTR4,Aqua Loop,3903,3785,5500,8,1,7,1
Six Flags,2025-01-08 00:00:00+00:00,SRT,Siroccos Tower,7759,7574,8000,6,3,3,3
Six Flags,2025-01-08 00:00:00+00:00,ELT,Electric Light Tour,3466,3484,3500,10,4,6,4
Six Flags,2025-01-08 00:00:00+00:00,MLP,Magic Lantern Parade,3980,4171,4000,9,2,7,2
Six Flags,2025-01-08 00:00:00+00:00,GDC,Grand Canyon Coaster,5190,5204,5200,8,1,7,1
Six Flags,2025-01-08 00:00:00+00:00,HRA,High Roller Adventure,5980,6916,6000,7,2,5,2
Six Flags,2025-01-08 00:00:00+00:00,SKW,Skywatch,6488,6776,6500,9,1,8,1
Six Flags,2025-01-08 00:00:00+00:00,TWE,Twilight Express,7786,8796,7800,9,3,6,3
Six Flags,2025-01-08 00:00:00+00:00,IRMT,Iron Rattler Mine Town,4459,4957,4500,9,4,5,4
Six Flags,2025-01-08 00:00:00+00:00,FLF,Falcons Flight,8977,10145,9000,7,1,6,1
Six Flags,2025-01-08 00:00:00+00:00,KCB,Kiddie Carousel Bay,2963,2974,3000,8,2,6,2
Aquarabia,2025-01-08 00:00:00+00:00,AQL,Aqua Lake Raft,2826,2650,3800,10,1,9,1
Aquarabia,2025-01-08 00:00:00+00:00,SST,Sea Stallion,4495,4400,7000,10,4,6,4
Aquarabia,2025-01-08 00:00:00+00:00,WTR1,Wave Pool,4448,4382,6000,7,3,4,3
Aquarabia,2025-01-08 00:00:00+00:00,WTR2,Lazy River,3650,3523,5000,7,1,6,1
Aquarabia,2025-01-08 00:00:00+00:00,WTR3,Splash Zone,5222,5034,8000,6,3,3,3
Aquarabia,2025-01-08 00:00:00+00:00,DRD,Dizzy Rapids Drop,2709,2620,3600,7,2,5,2
Aquarabia,2025-01-08 00:00:00+00:00,RDL,Rapid Downstream Loop,3496,3340,5000,9,2,7,2
Aquarabia,2025-01-08 00:00:00+00:00,SMW,Splash Mountain Wave,3533,3375,4800,10,4,6,4
Aquarabia,2025-01-08 00:00:00+00:00,FJT,Fun Jet Tubes,3123,2938,4200,10,4,6,4
Aquarabia,2025-01-08 00:00:00+00:00,WTR4,Aqua Loop,3387,3301,5500,8,2,6,2
Six Flags,2025-01-09 00:00:00+00:00,FLF,Falcons Flight,5418,5298,9000,7,4,3,4
Six Flags,2025-01-09 00:00:00+00:00,ELT,Electric Light Tour,2264,2077,3500,9,2,7,2
Six Flags,2025-01-09 00:00:00+00:00,MLP,Magic Lantern Parade,2763,2613,4000,6,3,3,3
Six Flags,2025-01-09 00:00:00+00:00,GDC,Grand Canyon Coaster,3327,3195,5200,8,4,4,4
Six Flags,2025-01-09 00:00:00+00:00,HRA,High Roller Adventure,3769,3654,6000,10,3,7,3
Six Flags,2025-01-09 00:00:00+00:00,SKW,Skywatch,4395,4241,6500,6,1,5,1
Six Flags,2025-01-09 00:00:00+00:00,TWE,Twilight Express,4987,4834,7800,7,3,4,3
Six Flags,2025-01-09 00:00:00+00:00,IRMT,Iron Rattler Mine Town,2909,2724,4500,8,3,5,3
Six Flags,2025-01-09 00:00:00+00:00,SRT,Siroccos Tower,5341,5216,8000,10,1,9,1
Six Flags,2025-01-09 00:00:00+00:00,KCB,Kiddie Carousel Bay,2181,2013,3000,8,2,6,2
Aquarabia,2025-01-09 00:00:00+00:00,DRD,Dizzy Rapids Drop,2354,2211,3600,9,2,7,2
Aquarabia,2025-01-09 00:00:00+00:00,FJT,Fun Jet Tubes,2729,2564,4200,9,3,6,3
Aquarabia,2025-01-09 00:00:00+00:00,SMW,Splash Mountain Wave,3452,3312,4800,7,2,5,2
Aquarabia,2025-01-09 00:00:00+00:00,RDL,Rapid Downstream Loop,3264,3179,5000,7,3,4,3
Aquarabia,2025-01-09 00:00:00+00:00,WTR4,Aqua Loop,4159,3980,5500,9,3,6,3
Aquarabia,2025-01-09 00:00:00+00:00,WTR3,Splash Zone,5700,5630,8000,7,1,6,1
Aquarabia,2025-01-09 00:00:00+00:00,WTR2,Lazy River,3119,2975,5000,10,1,9,1
Aquarabia,2025-01-09 00:00:00+00:00,WTR1,Wave Pool,3769,3597,6000,8,4,4,4
Aquarabia,2025-01-09 00:00:00+00:00,SST,Sea Stallion,4465,4403,7000,9,3,6,3
Aquarabia,2025-01-09 00:00:00+00:00,AQL,Aqua Lake Raft,2762,2684,3800,8,2,6,2
Six Flags,2025-01-10 00:00:00+00:00,IRMT,Iron Rattler Mine Town,3903,3822,4500,10,2,8,2
Six Flags,2025-01-10 00:00:00+00:00,TWE,Twilight Express,6372,6198,7800,9,4,5,4
Six Flags,2025-01-10 00:00:00+00:00,HRA,High Roller Adventure,5727,5605,6000,7,4,3,4
Six Flags,2025-01-10 00:00:00+00:00,SRT,Siroccos Tower,6852,6676,8000,7,1,6,1
Six Flags,2025-01-10 00:00:00+00:00,MLP,Magic Lantern Parade,3890,3702,4000,7,2,5,2
Six Flags,2025-01-10 00:00:00+00:00,ELT,Electric Light Tour,3080,3016,3500,8,3,5,3
Six Flags,2025-01-10 00:00:00+00:00,KCB,Kiddie Carousel Bay,2810,2631,3000,10,2,8,2
Six Flags,2025-01-10 00:00:00+00:00,GDC,Grand Canyon Coaster,4933,4863,5200,10,4,6,4
Six Flags,2025-01-10 00:00:00+00:00,FLF,Falcons Flight,8570,8375,9000,8,2,6,2
Six Flags,2025-01-10 00:00:00+00:00,SKW,Skywatch,5884,5796,6500,7,2,5,2
Aquarabia,2025-01-10 00:00:00+00:00,AQL,Aqua Lake Raft,3776,3774,3800,8,1,7,1
Aquarabia,2025-01-10 00:00:00+00:00,SST,Sea Stallion,6980,7230,7000,10,2,8,2
Aquarabia,2025-01-10 00:00:00+00:00,WTR1,Wave Pool,5738,5573,6000,9,3,6,3
Aquarabia,2025-01-10 00:00:00+00:00,WTR2,Lazy River,4959,5448,5000,7,1,6,1
Aquarabia,2025-01-10 00:00:00+00:00,WTR3,Splash Zone,7952,8390,8000,10,3,7,3
Aquarabia,2025-01-10 00:00:00+00:00,DRD,Dizzy Rapids Drop,3546,3435,3600,8,3,5,3
Aquarabia,2025-01-10 00:00:00+00:00,RDL,Rapid Downstream Loop,4989,5340,5000,9,3,6,3
Aquarabia,2025-01-10 00:00:00+00:00,SMW,Splash Mountain Wave,4674,4574,4800,9,2,7,2
Aquarabia,2025-01-10 00:00:00+00:00,FJT,Fun Jet Tubes,4151,4620,4200,10,1,9,1
Aquarabia,2025-01-10 00:00:00+00:00,WTR4,Aqua Loop,5459,5895,5500,6,1,5,1
Six Flags,2025-01-11 00:00:00+00:00,IRMT,Iron Rattler Mine Town,3612,3499,4500,10,2,8,2
Six Flags,2025-01-11 00:00:00+00:00,KCB,Kiddie Carousel Bay,2076,1975,3000,10,3,7,3
Six Flags,2025-01-11 00:00:00+00:00,ELT,Electric Light Tour,2623,2486,3500,8,3,5,3
Six Flags,2025-01-11 00:00:00+00:00,MLP,Magic Lantern Parade,2900,2798,4000,8,2,6,2
Six Flags,2025-01-11 00:00:00+00:00,GDC,Grand Canyon Coaster,3755,3569,5200,9,3,6,3
Six Flags,2025-01-11 00:00:00+00:00,HRA,High Roller Adventure,4559,4463,6000,8,2,6,2
Six Flags,2025-01-11 00:00:00+00:00,SKW,Skywatch,5023,4905,6500,8,2,6,2
Six Flags,2025-01-11 00:00:00+00:00,TWE,Twilight Express,5422,5308,7800,8,4,4,4
Six Flags,2025-01-11 00:00:00+00:00,SRT,Siroccos Tower,5350,5300,8000,10,1,9,1
Six Flags,2025-01-11 00:00:00+00:00,FLF,Falcons Flight,6385,6323,9000,8,3,5,3
Aquarabia,2025-01-11 00:00:00+00:00,DRD,Dizzy Rapids Drop,3551,3633,3600,7,3,4,3
Aquarabia,2025-01-11 00:00:00+00:00,AQL,Aqua Lake Raft,3426,3325,3800,8,2,6,2
Aquarabia,2025-01-11 00:00:00+00:00,FJT,Fun Jet Tubes,3957,3871,4200,7,4,3,4
Aquarabia,2025-01-11 00:00:00+00:00,SMW,Splash Mountain Wave,4317,4189,4800,6,3,3,3
Aquarabia,2025-01-11 00:00:00+00:00,RDL,Rapid Downstream Loop,4969,4919,5000,7,3,4,3
Aquarabia,2025-01-11 00:00:00+00:00,WTR4,Aqua Loop,5082,4969,5500,9,3,6,3
Aquarabia,2025-01-11 00:00:00+00:00,WTR3,Splash Zone,7283,7112,8000,6,1,5,1
Aquarabia,2025-01-11 00:00:00+00:00,WTR2,Lazy River,4469,4271,5000,6,1,5,1
Aquarabia,2025-01-11 00:00:00+00:00,WTR1,Wave Pool,5256,5145,6000,9,2,7,2
Aquarabia,2025-01-11 00:00:00+00:00,SST,Sea Stallion,6981,7148,7000,9,4,5,4
Six Flags,2025-01-12 00:00:00+00:00,IRMT,Iron Rattler Mine Town,4469,4718,4500,9,1,8,1
Six Flags,2025-01-12 00:00:00+00:00,TWE,Twilight Express,7764,7803,7800,8,4,4,4
Six Flags,2025-01-12 00:00:00+00:00,SKW,Skywatch,6484,6623,6500,7,1,6,1
Six Flags,2025-01-12 00:00:00+00:00,HRA,High Roller Adventure,5974,5938,6000,9,4,5,4
Six Flags,2025-01-12 00:00:00+00:00,KCB,Kiddie Carousel Bay,2965,3328,3000,8,2,6,2
Six Flags,2025-01-12 00:00:00+00:00,MLP,Magic Lantern Parade,3978,4096,4000,8,2,6,2
Six Flags,2025-01-12 00:00:00+00:00,ELT,Electric Light Tour,3456,3684,3500,7,4,3,4
Six Flags,2025-01-12 00:00:00+00:00,SRT,Siroccos Tower,7976,7948,8000,8,1,7,1
Six Flags,2025-01-12 00:00:00+00:00,GDC,Grand Canyon Coaster,5047,4981,5200,7,3,4,3
Six Flags,2025-01-12 00:00:00+00:00,FLF,Falcons Flight,8968,9457,9000,9,2,7,2
Aquarabia,2025-01-12 00:00:00+00:00,WTR2,Lazy River,4978,5262,5000,9,1,8,1
Aquarabia,2025-01-12 00:00:00+00:00,AQL,Aqua Lake Raft,3772,4218,3800,8,1,7,1
Aquarabia,2025-01-12 00:00:00+00:00,FJT,Fun Jet Tubes,4163,4681,4200,8,1,7,1
Aquarabia,2025-01-12 00:00:00+00:00,SMW,Splash Mountain Wave,4766,5010,4800,10,3,7,3
Aquarabia,2025-01-12 00:00:00+00:00,RDL,Rapid Downstream Loop,4961,5619,5000,10,2,8,2
Aquarabia,2025-01-12 00:00:00+00:00,WTR4,Aqua Loop,5465,6004,5500,7,1,6,1
Aquarabia,2025-01-12 00:00:00+00:00,WTR3,Splash Zone,7954,7847,8000,9,2,7,2
Aquarabia,2025-01-12 00:00:00+00:00,WTR1,Wave Pool,5965,6115,6000,8,2,6,2
Aquarabia,2025-01-12 00:00:00+00:00,DRD,Dizzy Rapids Drop,3584,3839,3600,9,4,5,4
Aquarabia,2025-01-12 00:00:00+00:00,SST,Sea Stallion,6989,7598,7000,7,4,3,4
Six Flags,2025-01-13 00:00:00+00:00,IRMT,Iron Rattler Mine Town,4065,3992,4500,10,2,8,2
Six Flags,2025-01-13 00:00:00+00:00,TWE,Twilight Express,6861,6706,7800,7,4,3,4
Six Flags,2025-01-13 00:00:00+00:00,SKW,Skywatch,5783,5644,6500,6,4,2,4
Six Flags,2025-01-13 00:00:00+00:00,HRA,High Roller Adventure,4966,4797,6000,10,4,6,4
Six Flags,2025-01-13 00:00:00+00:00,ELT,Electric Light Tour,3396,3313,3500,7,1,6,1
Six Flags,2025-01-13 00:00:00+00:00,MLP,Magic Lantern Parade,3738,3687,4000,7,4,3,4
Six Flags,2025-01-13 00:00:00+00:00,KCB,Kiddie Carousel Bay,2678,2504,3000,7,1,6,1
Six Flags,2025-01-13 00:00:00+00:00,SRT,Siroccos Tower,7692,7521,8000,10,2,8,2
Six Flags,2025-01-13 00:00:00+00:00,GDC,Grand Canyon Coaster,4503,4370,5200,10,3,7,3
Six Flags,2025-01-13 00:00:00+00:00,FLF,Falcons Flight,8728,8570,9000,8,1,7,1
Aquarabia,2025-01-13 00:00:00+00:00,WTR2,Lazy River,4976,5470,5000,10,2,8,2
Aquarabia,2025-01-13 00:00:00+00:00,AQL,Aqua Lake Raft,3776,3866,3800,9,1,8,1
Aquarabia,2025-01-13 00:00:00+00:00,SST,Sea Stallion,6966,7521,7000,8,4,4,4
Aquarabia,2025-01-13 00:00:00+00:00,WTR1,Wave Pool,5970,6500,6000,10,1,9,1
Aquarabia,2025-01-13 00:00:00+00:00,WTR3,Splash Zone,7952,9239,8000,6,2,4,2
Aquarabia,2025-01-13 00:00:00+00:00,DRD,Dizzy Rapids Drop,3551,3632,3600,9,4,5,4
