date,asset_id,reach,industry_reach,pr_value,total_media_value,share_of_voice,sentiment_positive,sentiment_neutral,sentiment_negative
2025-06-11 00:00:00+00:00,Six Flags,3330,5082,3432,1170,0.66,86.4,3.2,10.4
2025-06-12 00:00:00+00:00,Six Flags,2711,4337,2233,569,0.63,84.5,6.8,8.7
2025-06-13 00:00:00+00:00,Six Flags,3367,5192,3768,1225,0.65,81.4,9.6,9
2025-06-14 00:00:00+00:00,Six Flags,2841,3759,3062,677,0.76,87.2,5,7.8
2025-06-15 00:00:00+00:00,Six Flags,3588,5234,3202,785,0.69,84.6,4.7,10.6
2025-06-16 00:00:00+00:00,Six Flags,3135,4323,3720,1221,0.73,86.5,4.8,8.7
2025-06-17 00:00:00+00:00,Six Flags,2489,3743,2336,572,0.66,86.8,2.8,10.4
2025-06-18 00:00:00+00:00,Six Flags,3463,4433,4085,1100,0.78,86.3,5.3,8.5
2025-06-19 00:00:00+00:00,Six Flags,3373,5390,3240,806,0.63,85.8,4.3,9.9
2025-06-20 00:00:00+00:00,Six Flags,3023,4575,3313,982,0.66,84.3,5.3,10.3
2025-06-21 00:00:00+00:00,Six Flags,2333,3344,1990,585,0.7,86,5.5,8.5
2025-06-22 00:00:00+00:00,Six Flags,3688,4738,3277,1019,0.78,83.9,7.2,8.9
2025-06-23 00:00:00+00:00,Six Flags,2890,4384,3065,819,0.66,86.7,4.6,8.6
2025-06-24 00:00:00+00:00,Six Flags,2455,3648,1994,636,0.67,82.9,9.4,7.7
2025-06-25 00:00:00+00:00,Six Flags,3309,4230,3226,728,0.78,85.8,5.8,8.4
2025-06-26 00:00:00+00:00,Six Flags,3064,3975,3505,847,0.77,82,7.9,10.1
2025-06-27 00:00:00+00:00,Six Flags,3805,5880,4078,902,0.65,84.2,6.6,9.2
2025-06-28 00:00:00+00:00,Six Flags,2853,3743,3308,774,0.76,84.4,5.4,10.1
2025-06-29 00:00:00+00:00,Six Flags,2045,2627,1743,481,0.78,81.2,10,8.8
2025-06-30 00:00:00+00:00,Six Flags,3036,3823,3289,1133,0.79,84.8,6.6,8.6
2025-07-01 00:00:00+00:00,Six Flags,2270,3453,2230,553,0.66,87.3,3.2,9.5
2025-07-02 00:00:00+00:00,Six Flags,2509,3216,2035,548,0.78,84.1,7.4,8.5
2025-07-03 00:00:00+00:00,Six Flags,3484,5078,3015,744,0.69,86.9,4.7,8.3
2025-07-04 00:00:00+00:00,Six Flags,3713,5726,4440,1046,0.65,86.1,4.1,9.9
2025-07-05 00:00:00+00:00,Six Flags,3651,5359,3101,850,0.68,85.5,6,8.6
2025-07-06 00:00:00+00:00,Six Flags,3206,4162,2675,900,0.77,87.5,2.6,9.9
2025-07-07 00:00:00+00:00,Six Flags,2084,2616,2005,646,0.8,85.8,4,10.2
2025-07-08 00:00:00+00:00,Six Flags,3493,4865,3131,700,0.72,83.1,6.5,10.3
2025-07-09 00:00:00+00:00,Six Flags,2351,3160,2147,612,0.74,84,7.7,8.3
2025-07-10 00:00:00+00:00,Six Flags,3828,5668,3217,881,0.68,85.4,4.9,9.7
2025-07-11 00:00:00+00:00,Six Flags,2856,4050,2511,792,0.71,86.3,3.4,10.3
2025-07-12 00:00:00+00:00,Six Flags,3578,5114,3820,857,0.7,87.6,4.6,7.8
2025-07-13 00:00:00+00:00,Six Flags,3222,5147,2895,787,0.63,85.9,5.2,9
2025-07-14 00:00:00+00:00,Six Flags,2869,4496,2358,689,0.64,84.7,7.5,7.8
2025-07-15 00:00:00+00:00,Six Flags,3332,4414,3918,937,0.75,82.5,7.7,9.8
2025-07-16 00:00:00+00:00,Six Flags,2842,4523,3187,851,0.63,85.1,6.4,8.6
2025-07-17 00:00:00+00:00,Six Flags,3304,4546,3082,887,0.73,85.1,5.5,9.4
2025-07-18 00:00:00+00:00,Six Flags,2444,3476,2556,790,0.7,82.3,9.5,8.1
2025-07-19 00:00:00+00:00,Six Flags,3838,5080,3521,979,0.76,87.3,3.6,9.1
2025-07-20 00:00:00+00:00,Six Flags,3774,5394,3134,1003,0.7,85.5,5.6,8.9
2025-07-21 00:00:00+00:00,Six Flags,2206,3211,2267,703,0.69,83.4,7,9.7
2025-07-22 00:00:00+00:00,Six Flags,3119,4238,2690,611,0.74,83.6,5.5,10.9
2025-07-23 00:00:00+00:00,Six Flags,3704,4746,3930,1248,0.78,86.5,3.4,10.1
2025-07-24 00:00:00+00:00,Six Flags,3161,4834,3035,954,0.65,88.3,2.9,8.8
2025-07-25 00:00:00+00:00,Six Flags,2576,3336,2624,773,0.77,81.9,8.2,9.9
2025-07-26 00:00:00+00:00,Six Flags,3169,4571,2549,596,0.69,84,5.2,10.8
2025-07-27 00:00:00+00:00,Six Flags,3546,4876,3775,1084,0.73,82.1,8.2,9.7
2025-07-28 00:00:00+00:00,Six Flags,2878,4080,3078,736,0.71,86.4,4.1,9.4
2025-07-29 00:00:00+00:00,Six Flags,3749,5268,3456,996,0.71,87.2,3.9,8.9
2025-07-30 00:00:00+00:00,Six Flags,2631,4087,2116,697,0.64,84,7.6,8.4
2025-07-31 00:00:00+00:00,Six Flags,2375,3257,2627,671,0.73,87,4.6,8.4
2025-08-01 00:00:00+00:00,Six Flags,2644,3580,2656,608,0.74,82.4,7.2,10.4
2025-08-02 00:00:00+00:00,Six Flags,2543,3978,2154,678,0.64,80.3,8.9,10.7
2025-08-03 00:00:00+00:00,Six Flags,3128,4342,3171,1094,0.72,83.5,5.2,11.3
2025-08-04 00:00:00+00:00,Six Flags,2503,3882,2602,755,0.64,81.4,7.2,11.4
2025-08-05 00:00:00+00:00,Six Flags,2887,3849,3190,987,0.75,83.6,6.6,9.8
2025-08-06 00:00:00+00:00,Six Flags,2745,3732,2633,789,0.74,81.9,7.2,10.9
2025-08-07 00:00:00+00:00,Six Flags,2396,3638,2324,596,0.66,83.6,4.8,11.6
2025-08-08 00:00:00+00:00,Six Flags,3844,5520,3674,1243,0.7,82.8,7.3,9.8
2025-08-09 00:00:00+00:00,Six Flags,3743,4979,3572,1110,0.75,81.6,8.2,10.3
2025-08-10 00:00:00+00:00,Six Flags,2445,3109,2922,695,0.79,80.6,7.9,11.5
2025-08-11 00:00:00+00:00,Six Flags,2319,3307,2675,926,0.7,81.6,8.5,9.9
2025-08-12 00:00:00+00:00,Six Flags,3040,4030,2549,882,0.75,81.1,8.2,10.8
2025-08-13 00:00:00+00:00,Six Flags,3845,5987,3966,1377,0.64,84.1,5.2,10.6
2025-08-14 00:00:00+00:00,Six Flags,3855,5825,3123,766,0.66,82.4,8.1,9.5
2025-08-15 00:00:00+00:00,Six Flags,2230,2788,1968,599,0.8,80.3,10.2,9.5
2025-08-16 00:00:00+00:00,Six Flags,3029,4103,2497,629,0.74,80.1,10.9,8.9
2025-08-17 00:00:00+00:00,Six Flags,2019,2793,2309,739,0.72,82.7,5.5,11.8
2025-08-18 00:00:00+00:00,Six Flags,3663,5463,4003,1033,0.67,82.1,8,9.9
2025-08-19 00:00:00+00:00,Six Flags,2583,3680,2481,591,0.7,80.3,10.1,9.7
2025-08-20 00:00:00+00:00,Six Flags,3850,5511,4156,1438,0.7,81.3,9.9,8.8
2025-08-21 00:00:00+00:00,Six Flags,3125,4604,2967,1022,0.68,82.8,7,10.2
2025-08-22 00:00:00+00:00,Six Flags,3164,5058,3571,1248,0.63,84.1,6.6,9.3
2025-08-23 00:00:00+00:00,Six Flags,3264,4613,3566,1163,0.71,82.2,6.3,11.5
2025-08-24 00:00:00+00:00,Six Flags,3592,4502,3475,1012,0.8,79.6,9.1,11.4
2025-08-25 00:00:00+00:00,Six Flags,3672,5570,3832,935,0.66,84,7,9.1
2025-08-26 00:00:00+00:00,Six Flags,3575,4606,2883,719,0.78,80.3,9.4,10.4
2025-08-27 00:00:00+00:00,Six Flags,3333,4804,3799,1061,0.69,80.8,7.4,11.7
2025-08-28 00:00:00+00:00,Six Flags,3982,5586,3814,1068,0.71,82.8,5.9,11.3
2025-08-29 00:00:00+00:00,Six Flags,3712,4751,4402,1070,0.78,81.8,7,11.3
2025-08-30 00:00:00+00:00,Six Flags,3247,4320,3681,1284,0.75,80.7,10,9.3
2025-08-31 00:00:00+00:00,Six Flags,3356,4916,3151,797,0.68,80.4,10.1,9.5
2025-09-01 00:00:00+00:00,Six Flags,3755,5039,3147,793,0.75,86.5,5.3,8.2
2025-09-02 00:00:00+00:00,Six Flags,3284,5123,2715,865,0.64,83.3,6.1,10.6
2025-09-03 00:00:00+00:00,Six Flags,3427,5282,3125,816,0.65,82,8.1,9.9
2025-09-04 00:00:00+00:00,Six Flags,2824,4372,2599,732,0.65,86.1,4.1,9.8
2025-09-05 00:00:00+00:00,Six Flags,2394,3369,2648,623,0.71,83,9,8
2025-09-06 00:00:00+00:00,Six Flags,3358,4563,2930,887,0.74,84,6.9,9
2025-09-07 00:00:00+00:00,Six Flags,3777,5974,4503,1058,0.63,86.2,5.5,8.3
2025-09-08 00:00:00+00:00,Six Flags,3862,5578,3377,845,0.69,81.3,9.1,9.6
2025-09-09 00:00:00+00:00,Six Flags,2324,3356,2597,891,0.69,81.8,8.8,9.3
2025-09-10 00:00:00+00:00,Six Flags,2556,4037,2130,488,0.63,85.4,5.8,8.8
2025-09-11 00:00:00+00:00,Six Flags,2464,3240,2615,678,0.76,85.1,5.5,9.4
2025-09-12 00:00:00+00:00,Six Flags,2881,3902,3367,1133,0.74,82.1,10.2,7.8
2025-09-13 00:00:00+00:00,Six Flags,3142,4879,2667,738,0.64,83,7,9.9
2025-09-14 00:00:00+00:00,Six Flags,3860,5491,3385,1157,0.7,86.6,5.3,8.1
2025-09-15 00:00:00+00:00,Six Flags,2215,3080,2064,520,0.72,81.3,8.4,10.2
2025-09-16 00:00:00+00:00,Six Flags,2109,3046,2242,633,0.69,84.6,5.6,9.8
2025-09-17 00:00:00+00:00,Six Flags,3931,5807,3880,1341,0.68,86.6,4.6,8.8
2025-09-18 00:00:00+00:00,Six Flags,2070,3295,2257,640,0.63,87.3,4.7,7.9
2025-09-19 00:00:00+00:00,Six Flags,3891,4974,4172,1459,0.78,85.7,4.5,9.8
2025-09-20 00:00:00+00:00,Six Flags,2026,3136,1911,511,0.65,84.8,5.3,9.9
2025-09-21 00:00:00+00:00,Six Flags,2507,3255,2316,531,0.77,82.4,8.1,9.6
2025-09-22 00:00:00+00:00,Six Flags,3984,5232,4627,1087,0.76,84.5,5.2,10.3
2025-09-23 00:00:00+00:00,Six Flags,2940,4440,2359,688,0.66,87.2,2.9,9.9
2025-09-24 00:00:00+00:00,Six Flags,3641,5110,3207,974,0.71,82.4,7.6,10
2025-09-25 00:00:00+00:00,Six Flags,3779,5741,3266,1129,0.66,83.7,6.3,9.9
2025-09-26 00:00:00+00:00,Six Flags,3541,4598,3149,879,0.77,84.1,6.2,9.7
2025-09-27 00:00:00+00:00,Six Flags,2742,4354,2720,846,0.63,82.1,9.9,8
2025-09-28 00:00:00+00:00,Six Flags,2910,4107,2902,799,0.71,83.3,6.2,10.4
2025-09-29 00:00:00+00:00,Six Flags,2454,3531,2456,772,0.69,86.7,3.9,9.3
2025-09-30 00:00:00+00:00,Six Flags,2628,3474,2134,507,0.76,85,4.8,10.2
2025-10-01 00:00:00+00:00,Six Flags,3805,5459,4434,1081,0.7,81.7,9.3,9
2025-10-02 00:00:00+00:00,Six Flags,3149,4603,3444,808,0.68,85.4,6.4,8.2
2025-10-03 00:00:00+00:00,Six Flags,2065,3284,2291,725,0.63,86.2,4.7,9.1
2025-10-04 00:00:00+00:00,Six Flags,3593,5455,3740,970,0.66,82.3,9.5,8.2
2025-10-05 00:00:00+00:00,Six Flags,2540,3577,2900,767,0.71,82.3,9.2,8.5
