asset_id,date,total_attendance,total_tickets_sold,total_capacity,avg_uptime_hours,avg_downtime_hours,utilization_rate,sales_conversion_rate,loyalty_members_visited,avg_length_of_stay
Aquarabia,2025-02-22 00:00:00+00:00,36257,44103,52900,6.6,1.9,0.69,0.83,15,4.0
Aquarabia,2025-02-23 00:00:00+00:00,47657,50295,52900,5.3,2.3,0.9,0.95,17,5.1
Aquarabia,2025-02-24 00:00:00+00:00,52900,52900,52900,5.2,2.2,1.0,1.0,11,9.4
Aquarabia,2025-02-25 00:00:00+00:00,45454,49269,52900,5.6,2.9,0.86,0.93,6,3.0
Aquarabia,2025-02-26 00:00:00+00:00,52900,52900,52900,5.5,2.0,1.0,1.0,15,7.0
Aquarabia,2025-02-27 00:00:00+00:00,52900,52900,52900,5.3,2.4,1.0,1.0,6,4.1
Aquarabia,2025-02-28 00:00:00+00:00,101063,103445,105800,6.1,2.2,0.96,0.98,13,7.7
Aquarabia,2025-03-01 00:00:00+00:00,47126,49614,52900,5.4,2.3,0.89,0.94,14,5.0
Aquarabia,2025-03-02 00:00:00+00:00,52900,52900,52900,5.9,2.6,1.0,1.0,11,4.6
Aquarabia,2025-03-03 00:00:00+00:00,36011,41841,52900,5.6,2.8,0.68,0.79,15,9.1
Aquarabia,2025-03-04 00:00:00+00:00,45922,49515,52900,5.7,2.1,0.87,0.94,13,6.9
Aquarabia,2025-03-05 00:00:00+00:00,52900,52900,52900,4.8,2.9,1.0,1.0,15,6.7
Aquarabia,2025-03-06 00:00:00+00:00,52900,52900,52900,5.4,2.4,1.0,1.0,9,5.7
Aquarabia,2025-03-07 00:00:00+00:00,52900,52900,52900,5.1,2.4,1.0,1.0,7,5.6
Aquarabia,2025-03-08 00:00:00+00:00,46742,49253,52900,5.7,2.6,0.88,0.93,10,3.2
Aquarabia,2025-03-09 00:00:00+00:00,52053,52451,52900,5.5,2.9,0.98,0.99,12,4.7
Aquarabia,2025-03-10 00:00:00+00:00,40662,45939,52900,4.6,2.8,0.77,0.87,19,6.8
Aquarabia,2025-03-11 00:00:00+00:00,52205,52601,52900,6.3,2.2,0.99,0.99,7,5.2
Aquarabia,2025-03-12 00:00:00+00:00,47195,49558,52900,5.8,3.0,0.89,0.94,20,8.8
Aquarabia,2025-03-13 00:00:00+00:00,52900,52900,52900,6.0,2.3,1.0,1.0,19,6.1
Aquarabia,2025-03-14 00:00:00+00:00,33450,42078,52900,5.7,2.8,0.63,0.8,19,5.3
Aquarabia,2025-03-15 00:00:00+00:00,32885,44241,52900,5.4,2.4,0.62,0.84,7,5.1
Aquarabia,2025-03-16 00:00:00+00:00,34572,44343,52900,5.9,2.5,0.65,0.84,9,9.5
Aquarabia,2025-03-17 00:00:00+00:00,46920,49793,52900,6.4,2.0,0.89,0.94,16,4.6
Aquarabia,2025-03-18 00:00:00+00:00,52900,52900,52900,5.5,2.1,1.0,1.0,12,4.0
Aquarabia,2025-03-19 00:00:00+00:00,31785,45583,52900,5.3,2.5,0.6,0.86,7,8.2
Aquarabia,2025-03-20 00:00:00+00:00,52900,52900,52900,6.0,1.9,1.0,1.0,13,7.1
Aquarabia,2025-03-21 00:00:00+00:00,52900,52900,52900,6.2,2.6,1.0,1.0,18,9.6
Aquarabia,2025-03-22 00:00:00+00:00,50188,51848,52900,6.4,2.2,0.95,0.98,6,5.3
Aquarabia,2025-03-23 00:00:00+00:00,46440,49423,52900,6.1,2.2,0.88,0.93,7,4.7
Aquarabia,2025-03-24 00:00:00+00:00,52900,52900,52900,5.8,2.4,1.0,1.0,17,6.6
Aquarabia,2025-03-25 00:00:00+00:00,52900,52900,52900,5.6,2.5,1.0,1.0,18,7.8
Aquarabia,2025-03-26 00:00:00+00:00,45474,50136,52900,6.0,2.1,0.86,0.95,10,6.8
Aquarabia,2025-03-27 00:00:00+00:00,52900,52900,52900,5.6,3.0,1.0,1.0,13,7.2
Aquarabia,2025-03-28 00:00:00+00:00,37298,45822,52900,6.5,2.3,0.71,0.87,6,6.8
Aquarabia,2025-03-29 00:00:00+00:00,51136,51714,52900,5.9,2.8,0.97,0.98,8,5.7
Aquarabia,2025-03-30 00:00:00+00:00,52139,52425,52900,5.0,2.9,0.99,0.99,16,6.0
Aquarabia,2025-03-31 00:00:00+00:00,52900,52900,52900,5.1,2.7,1.0,1.0,16,8.4
Aquarabia,2025-04-01 00:00:00+00:00,30099,41575,52900,4.8,2.4,0.57,0.79,9,9.4
Aquarabia,2025-04-02 00:00:00+00:00,34512,42782,52900,4.7,2.8,0.65,0.81,15,6.3
Aquarabia,2025-04-03 00:00:00+00:00,31236,45996,52900,6.8,1.7,0.59,0.87,18,4.5
Aquarabia,2025-04-04 00:00:00+00:00,44275,48396,52900,5.2,2.5,0.84,0.91,8,6.7
Aquarabia,2025-04-05 00:00:00+00:00,40092,49048,52900,4.6,2.4,0.76,0.93,9,7.0
Aquarabia,2025-04-06 00:00:00+00:00,39821,46426,52900,5.2,2.1,0.75,0.88,11,7.5
Aquarabia,2025-04-07 00:00:00+00:00,30460,44764,52900,6.4,2.1,0.58,0.85,10,8.0
Aquarabia,2025-04-08 00:00:00+00:00,51728,52487,52900,5.2,2.4,0.98,0.99,11,6.2
Aquarabia,2025-04-09 00:00:00+00:00,52900,52900,52900,6.3,2.3,1.0,1.0,19,4.4
Aquarabia,2025-04-10 00:00:00+00:00,52900,52900,52900,4.9,3.1,1.0,1.0,20,4.3
Aquarabia,2025-04-11 00:00:00+00:00,37030,46899,52900,5.8,2.6,0.7,0.89,14,6.7
Aquarabia,2025-04-12 00:00:00+00:00,30408,41866,52900,6.0,2.0,0.57,0.79,11,9.7
Aquarabia,2025-04-13 00:00:00+00:00,52900,52900,52900,6.0,2.0,1.0,1.0,19,9.2
Aquarabia,2025-04-14 00:00:00+00:00,52900,52900,52900,6.3,1.7,1.0,1.0,7,6.8
Aquarabia,2025-04-15 00:00:00+00:00,52900,52900,52900,5.1,2.6,1.0,1.0,7,9.9
Aquarabia,2025-04-16 00:00:00+00:00,52273,52515,52900,4.4,2.8,0.99,0.99,9,5.9
Aquarabia,2025-04-17 00:00:00+00:00,52900,52900,52900,4.3,2.5,1.0,1.0,17,9.3
Aquarabia,2025-04-18 00:00:00+00:00,44602,48616,52900,5.8,2.5,0.84,0.92,9,7.3
Aquarabia,2025-04-19 00:00:00+00:00,52900,52900,52900,6.0,2.5,1.0,1.0,14,6.3
Aquarabia,2025-04-20 00:00:00+00:00,52900,52900,52900,4.5,2.8,1.0,1.0,20,4.4
Aquarabia,2025-04-21 00:00:00+00:00,43280,48626,52900,5.4,2.5,0.82,0.92,17,7.4
Aquarabia,2025-04-22 00:00:00+00:00,31434,43378,52900,5.5,2.5,0.59,0.82,19,4.9
Aquarabia,2025-04-23 00:00:00+00:00,52900,52900,52900,5.1,2.6,1.0,1.0,6,6.0
Aquarabia,2025-04-24 00:00:00+00:00,52900,52900,52900,5.4,2.8,1.0,1.0,14,4.8
Aquarabia,2025-04-25 00:00:00+00:00,33478,43093,52900,4.5,2.9,0.63,0.81,9,4.8
Aquarabia,2025-04-26 00:00:00+00:00,48180,50531,52900,5.8,2.4,0.91,0.96,10,8.8
Aquarabia,2025-04-27 00:00:00+00:00,50448,51515,52900,5.2,2.2,0.95,0.97,7,6.4
Aquarabia,2025-04-28 00:00:00+00:00,52900,52900,52900,6.0,2.3,1.0,1.0,10,5.3
Aquarabia,2025-04-29 00:00:00+00:00,38840,46683,52900,6.0,2.3,0.73,0.88,18,7.5
Aquarabia,2025-04-30 00:00:00+00:00,31798,43237,52900,4.4,3.1,0.6,0.82,18,8.0
Aquarabia,2025-05-01 00:00:00+00:00,52900,52900,52900,4.0,3.1,1.0,1.0,16,8.2
Aquarabia,2025-05-02 00:00:00+00:00,48680,51109,52900,5.8,2.4,0.92,0.97,16,3.1
Aquarabia,2025-05-03 00:00:00+00:00,52900,52900,52900,5.3,2.8,1.0,1.0,10,6.7
Aquarabia,2025-05-04 00:00:00+00:00,50253,51232,52900,5.1,2.1,0.95,0.97,9,8.8
Aquarabia,2025-05-05 00:00:00+00:00,52900,52900,52900,5.0,2.7,1.0,1.0,12,6.4
Aquarabia,2025-05-06 00:00:00+00:00,52763,52830,52900,6.0,2.5,1.0,1.0,8,5.5
Aquarabia,2025-05-07 00:00:00+00:00,32921,41913,52900,6.4,2.1,0.62,0.79,15,4.6
Aquarabia,2025-05-08 00:00:00+00:00,32933,44098,52900,6.2,2.4,0.62,0.83,19,4.0
Aquarabia,2025-05-09 00:00:00+00:00,32934,44077,52900,4.9,2.9,0.62,0.83,12,5.5
Aquarabia,2025-05-10 00:00:00+00:00,41739,46776,52900,5.2,2.3,0.79,0.88,9,7.2
Aquarabia,2025-05-11 00:00:00+00:00,51685,52327,52900,5.7,2.4,0.98,0.99,9,7.4
Aquarabia,2025-05-12 00:00:00+00:00,30017,40603,52900,7.0,1.9,0.57,0.77,20,8.4
Aquarabia,2025-05-13 00:00:00+00:00,48755,51457,52900,5.9,2.6,0.92,0.97,15,6.7
Aquarabia,2025-05-14 00:00:00+00:00,49426,51117,52900,5.1,3.0,0.93,0.97,13,7.9
Aquarabia,2025-05-15 00:00:00+00:00,33263,42907,52900,5.3,2.7,0.63,0.81,17,6.8
Aquarabia,2025-05-16 00:00:00+00:00,32269,41988,52900,5.4,2.1,0.61,0.79,15,5.8
Aquarabia,2025-05-17 00:00:00+00:00,32902,40720,52900,5.6,2.4,0.62,0.77,10,6.3
Aquarabia,2025-05-18 00:00:00+00:00,44005,47930,52900,5.5,2.2,0.83,0.91,5,3.1
Aquarabia,2025-05-19 00:00:00+00:00,52900,52900,52900,5.8,2.7,1.0,1.0,15,7.1
Aquarabia,2025-05-20 00:00:00+00:00,35484,44925,52900,4.5,2.9,0.67,0.85,11,9.0
Aquarabia,2025-05-21 00:00:00+00:00,52900,52900,52900,5.8,2.4,1.0,1.0,9,6.5
Aquarabia,2025-05-22 00:00:00+00:00,45254,49309,52900,5.7,2.4,0.86,0.93,16,3.1
Aquarabia,2025-05-23 00:00:00+00:00,50125,51520,52900,5.2,2.9,0.95,0.97,7,9.2
Aquarabia,2025-05-24 00:00:00+00:00,39695,46361,52900,5.0,3.0,0.75,0.88,20,8.1
Aquarabia,2025-05-25 00:00:00+00:00,43676,48180,52900,5.3,2.4,0.83,0.91,7,9.6
Aquarabia,2025-05-26 00:00:00+00:00,51450,52072,52900,4.9,2.9,0.97,0.98,10,3.4
Aquarabia,2025-05-27 00:00:00+00:00,42517,46871,52900,6.0,2.4,0.8,0.89,19,3.2
Aquarabia,2025-05-28 00:00:00+00:00,48648,50731,52900,6.0,1.9,0.92,0.96,14,9.8
Aquarabia,2025-05-29 00:00:00+00:00,44976,48926,52900,5.6,2.4,0.85,0.92,8,6.8
Aquarabia,2025-05-30 00:00:00+00:00,52900,52900,52900,5.8,2.5,1.0,1.0,8,5.3
Aquarabia,2025-05-31 00:00:00+00:00,52900,52900,52900,5.6,2.8,1.0,1.0,17,4.5
Aquarabia,2025-06-01 00:00:00+00:00,46849,50742,52900,5.3,2.8,0.89,0.96,5,3.8
Aquarabia,2025-06-02 00:00:00+00:00,52900,52900,52900,5.7,2.3,1.0,1.0,18,6.3
Aquarabia,2025-06-03 00:00:00+00:00,34536,44145,52900,4.5,2.9,0.65,0.83,11,4.3
Aquarabia,2025-06-04 00:00:00+00:00,32647,45905,52900,5.0,2.6,0.62,0.87,19,7.2
Aquarabia,2025-06-05 00:00:00+00:00,49872,50853,52900,5.8,1.9,0.94,0.96,14,3.1
Aquarabia,2025-06-06 00:00:00+00:00,38587,45290,52900,5.0,1.9,0.73,0.86,19,9.1
Aquarabia,2025-06-07 00:00:00+00:00,52900,52900,52900,4.9,2.7,1.0,1.0,14,5.8
Aquarabia,2025-06-08 00:00:00+00:00,30885,42059,52900,5.9,2.1,0.58,0.8,15,5.1
Aquarabia,2025-06-09 00:00:00+00:00,49575,51649,52900,5.7,2.5,0.94,0.98,14,8.8
Aquarabia,2025-06-10 00:00:00+00:00,33885,42007,52900,6.4,1.9,0.64,0.79,5,6.9
Aquarabia,2025-06-11 00:00:00+00:00,50322,51360,52900,5.8,2.4,0.95,0.97,8,4.3
Aquarabia,2025-06-12 00:00:00+00:00,52900,52900,52900,4.8,3.1,1.0,1.0,9,3.9
Aquarabia,2025-06-13 00:00:00+00:00,39684,47581,52900,5.1,2.3,0.75,0.9,16,3.0
Aquarabia,2025-06-14 00:00:00+00:00,32598,42739,52900,6.7,2.3,0.62,0.81,5,6.6
Aquarabia,2025-06-15 00:00:00+00:00,31980,43312,52900,5.4,2.9,0.6,0.82,19,8.6
Aquarabia,2025-06-16 00:00:00+00:00,47960,50768,52900,5.1,2.7,0.91,0.96,17,3.4
Aquarabia,2025-06-17 00:00:00+00:00,52371,52645,52900,5.8,3.0,0.99,1.0,20,4.4
Aquarabia,2025-06-18 00:00:00+00:00,31671,41988,52900,5.2,2.3,0.6,0.79,16,4.7
Aquarabia,2025-06-19 00:00:00+00:00,52900,52900,52900,4.5,3.1,1.0,1.0,12,8.8
Aquarabia,2025-06-20 00:00:00+00:00,35252,43499,52900,4.9,3.2,0.67,0.82,14,3.3
Aquarabia,2025-06-21 00:00:00+00:00,31157,43977,52900,5.6,2.4,0.59,0.83,14,7.5
Aquarabia,2025-06-22 00:00:00+00:00,43158,47823,52900,6.5,2.6,0.82,0.9,18,8.7
Aquarabia,2025-06-23 00:00:00+00:00,47697,50090,52900,5.8,2.1,0.9,0.95,19,8.0
Aquarabia,2025-06-24 00:00:00+00:00,45600,48649,52900,5.4,2.8,0.86,0.92,16,5.2
Aquarabia,2025-06-25 00:00:00+00:00,52900,52900,52900,5.6,2.6,1.0,1.0,20,4.3
Aquarabia,2025-06-26 00:00:00+00:00,36405,46619,52900,5.9,2.3,0.69,0.88,11,4.9
Aquarabia,2025-06-27 00:00:00+00:00,50089,51885,52900,5.9,2.3,0.95,0.98,13,4.8
Aquarabia,2025-06-28 00:00:00+00:00,47610,51059,52900,5.4,2.6,0.9,0.97,5,4.2
Aquarabia,2025-06-29 00:00:00+00:00,30566,40668,52900,5.3,2.8,0.58,0.77,10,8.4
Aquarabia,2025-06-30 00:00:00+00:00,50910,51593,52900,5.3,2.6,0.96,0.98,18,5.9
Aquarabia,2025-07-01 00:00:00+00:00,42676,47407,52900,5.0,2.7,0.81,0.9,16,7.2
Aquarabia,2025-07-02 00:00:00+00:00,41371,45446,52900,5.4,2.4,0.78,0.86,12,9.8
Aquarabia,2025-07-03 00:00:00+00:00,52900,52900,52900,5.9,2.3,1.0,1.0,20,5.7
Aquarabia,2025-07-04 00:00:00+00:00,52900,52900,52900,5.9,2.6,1.0,1.0,17,9.8
Aquarabia,2025-07-05 00:00:00+00:00,52900,52900,52900,5.7,2.3,1.0,1.0,6,5.5
Aquarabia,2025-07-06 00:00:00+00:00,36387,45579,52900,5.5,3.0,0.69,0.86,16,5.0
Aquarabia,2025-07-07 00:00:00+00:00,30121,42883,52900,6.4,2.6,0.57,0.81,17,6.8
Aquarabia,2025-07-08 00:00:00+00:00,52900,52900,52900,5.3,2.6,1.0,1.0,14,7.9
Aquarabia,2025-07-09 00:00:00+00:00,43610,48963,52900,5.8,2.2,0.82,0.93,17,6.6
Aquarabia,2025-07-10 00:00:00+00:00,52900,52900,52900,4.9,2.6,1.0,1.0,5,8.9
Aquarabia,2025-07-11 00:00:00+00:00,45063,49198,52900,5.1,2.7,0.85,0.93,19,5.4
Aquarabia,2025-07-12 00:00:00+00:00,41684,47977,52900,5.6,2.4,0.79,0.91,9,7.7
Aquarabia,2025-07-13 00:00:00+00:00,40455,46729,52900,5.2,2.4,0.76,0.88,6,3.1
Aquarabia,2025-07-14 00:00:00+00:00,42573,48713,52900,6.0,2.5,0.8,0.92,9,8.2
Aquarabia,2025-07-15 00:00:00+00:00,47021,51263,52900,5.5,2.7,0.89,0.97,14,7.6
Aquarabia,2025-07-16 00:00:00+00:00,51195,51846,52900,4.6,2.8,0.97,0.98,12,4.7
Aquarabia,2025-07-17 00:00:00+00:00,41994,47191,52900,4.6,2.8,0.79,0.89,13,8.2
Aquarabia,2025-07-18 00:00:00+00:00,45191,49063,52900,6.4,2.1,0.85,0.93,19,5.1
Aquarabia,2025-07-19 00:00:00+00:00,52900,52900,52900,5.8,2.6,1.0,1.0,10,4.6
Aquarabia,2025-07-20 00:00:00+00:00,51655,52284,52900,5.7,2.9,0.98,0.99,10,8.7
Aquarabia,2025-07-21 00:00:00+00:00,33828,46684,52900,4.9,3.3,0.64,0.88,9,4.7
Aquarabia,2025-07-22 00:00:00+00:00,36179,44344,52900,6.0,2.1,0.68,0.84,7,3.6
Aquarabia,2025-07-23 00:00:00+00:00,43143,47355,52900,6.7,2.2,0.82,0.9,10,5.4
Aquarabia,2025-07-24 00:00:00+00:00,38783,44222,52900,5.5,2.7,0.73,0.84,8,3.7
Aquarabia,2025-07-25 00:00:00+00:00,52360,52615,52900,5.8,2.2,0.99,0.99,6,5.3
Aquarabia,2025-07-26 00:00:00+00:00,37091,44167,52900,5.4,2.7,0.7,0.83,16,7.8
Aquarabia,2025-07-27 00:00:00+00:00,37294,45796,52900,5.4,2.5,0.7,0.87,7,8.2
Aquarabia,2025-07-28 00:00:00+00:00,29952,41010,52900,5.9,2.7,0.57,0.78,13,3.4
Aquarabia,2025-07-29 00:00:00+00:00,52522,52717,52900,6.1,2.1,0.99,1.0,11,9.7
Aquarabia,2025-07-30 00:00:00+00:00,48340,50454,52900,6.4,2.1,0.91,0.95,7,6.4
Aquarabia,2025-07-31 00:00:00+00:00,52900,52900,52900,5.2,2.4,1.0,1.0,9,3.9
Aquarabia,2025-08-01 00:00:00+00:00,52900,52900,52900,4.9,2.5,1.0,1.0,19,3.9
Aquarabia,2025-08-02 00:00:00+00:00,32607,44389,52900,5.8,2.5,0.62,0.84,20,3.7
Aquarabia,2025-08-03 00:00:00+00:00,52900,52900,52900,6.2,2.6,1.0,1.0,9,7.4
Aquarabia,2025-08-04 00:00:00+00:00,45783,48496,52900,5.7,2.2,0.87,0.92,12,7.8
Aquarabia,2025-08-05 00:00:00+00:00,37191,43940,52900,6.3,2.4,0.7,0.83,10,7.4
Aquarabia,2025-08-06 00:00:00+00:00,47578,49433,52900,5.0,2.4,0.9,0.93,20,7.1
Aquarabia,2025-08-07 00:00:00+00:00,28997,40018,52900,5.6,2.3,0.55,0.76,11,7.2
Aquarabia,2025-08-08 00:00:00+00:00,31097,43975,52900,6.4,2.7,0.59,0.83,20,4.5
Aquarabia,2025-08-09 00:00:00+00:00,52900,52900,52900,5.2,2.7,1.0,1.0,14,3.7
Aquarabia,2025-08-10 00:00:00+00:00,52900,52900,52900,5.5,2.3,1.0,1.0,15,3.4
Aquarabia,2025-08-11 00:00:00+00:00,52900,52900,52900,4.7,2.7,1.0,1.0,15,3.2
Aquarabia,2025-08-12 00:00:00+00:00,52900,52900,52900,5.9,2.1,1.0,1.0,9,8.6
Aquarabia,2025-08-13 00:00:00+00:00,32964,47513,52900,4.7,3.0,0.62,0.9,16,5.2
Aquarabia,2025-08-14 00:00:00+00:00,52900,52900,52900,5.6,2.5,1.0,1.0,18,7.0
Aquarabia,2025-08-15 00:00:00+00:00,52900,52900,52900,5.5,2.2,1.0,1.0,7,4.5
Aquarabia,2025-08-16 00:00:00+00:00,50717,51532,52900,6.3,2.8,0.96,0.97,13,9.4
Aquarabia,2025-08-17 00:00:00+00:00,50239,51362,52900,5.6,2.7,0.95,0.97,7,3.2
Aquarabia,2025-08-18 00:00:00+00:00,52826,52858,52900,5.1,2.2,1.0,1.0,14,6.3
Aquarabia,2025-08-19 00:00:00+00:00,36088,44526,52900,5.0,3.5,0.68,0.84,18,8.9
Aquarabia,2025-08-20 00:00:00+00:00,52900,52900,52900,5.3,2.6,1.0,1.0,7,9.2
Aquarabia,2025-08-21 00:00:00+00:00,33370,44704,52900,4.9,2.5,0.63,0.85,11,4.4
Aquarabia,2025-08-22 00:00:00+00:00,52900,52900,52900,4.5,3.3,1.0,1.0,14,7.4
Aquarabia,2025-08-23 00:00:00+00:00,52900,52900,52900,5.2,2.7,1.0,1.0,15,6.1
Aquarabia,2025-08-24 00:00:00+00:00,52900,52900,52900,5.9,2.3,1.0,1.0,14,8.3
Aquarabia,2025-08-25 00:00:00+00:00,34564,42403,52900,5.4,2.7,0.65,0.8,6,6.0
Aquarabia,2025-08-26 00:00:00+00:00,52900,52900,52900,5.5,2.8,1.0,1.0,14,9.9
Aquarabia,2025-08-27 00:00:00+00:00,43696,48592,52900,5.2,2.3,0.83,0.92,5,6.6
Aquarabia,2025-08-28 00:00:00+00:00,31599,39029,52900,6.2,2.6,0.6,0.74,16,9.8
Aquarabia,2025-08-29 00:00:00+00:00,52900,52900,52900,5.8,2.0,1.0,1.0,9,8.1
Aquarabia,2025-08-30 00:00:00+00:00,31975,43921,52900,4.7,2.7,0.6,0.83,10,7.7
Aquarabia,2025-08-31 00:00:00+00:00,52900,52900,52900,5.3,2.5,1.0,1.0,6,3.3
Aquarabia,2025-09-01 00:00:00+00:00,52900,52900,52900,5.8,2.7,1.0,1.0,18,6.3
Aquarabia,2025-09-02 00:00:00+00:00,37294,44076,52900,5.4,2.5,0.7,0.83,20,5.4
Aquarabia,2025-09-03 00:00:00+00:00,52900,52900,52900,6.6,2.0,1.0,1.0,18,9.3
Aquarabia,2025-09-04 00:00:00+00:00,52900,52900,52900,5.3,2.4,1.0,1.0,12,5.8
Aquarabia,2025-09-05 00:00:00+00:00,52900,52900,52900,5.8,1.7,1.0,1.0,18,3.9
Aquarabia,2025-09-06 00:00:00+00:00,50745,51370,52900,4.4,3.5,0.96,0.97,9,6.8
Aquarabia,2025-09-07 00:00:00+00:00,43286,48138,52900,5.5,2.8,0.82,0.91,14,8.9
Aquarabia,2025-09-08 00:00:00+00:00,34053,43773,52900,5.3,2.6,0.64,0.83,8,3.9
